"authorId","fullName","surname","givenName","documentCount","university","city","country","topSubjectArea","orcid"
"57190220276","Mridula Guin","Guin","Mridula",63,"Sharda University","Greater Noida","India","Chemistry (all)","0000-0003-2442-1646"
"35556665000","Abul Hasan Siddiqi","Siddiqi","Abul Hasan",63,"Sharda University","Greater Noida","India","Mathematics (all)",""
"58862764700","Irwanjot Kaur","Kaur","Irwanjot",63,"Chitkara University, Punjab","Rajpura","India","Medicine (all)",""
"57218573912","Mayank Kumar Goyal","Goyal","Mayank Kumar",62,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-8966-496X"
"16175254700","Sibaram R. Khara","Khara","Sibaram R.",62,"Sharda University","Greater Noida","India","Computer Science (all)",""
"57209094489","Shri Kant","Kant","Shri",61,"Sharda University","Greater Noida","India","Computer Science (all)",""
"57815829200","Vandana Singh","Singh","Vandana",61,"Sharda University","Greater Noida","India","Engineering (all)","0000-0003-0687-1483"
"19034439900","Shabnam Bhandari Grover","Grover","Shabnam Bhandari",61,"Sharda University","Greater Noida","India","Medicine (all)",""
"57208405836","Tushar Bansal","Bansal","Tushar",60,"Sharda University","Greater Noida","India","Engineering (all)","0000-0001-6184-2680"
"23983964800","Krishnan Batri","Batri","Krishnan",59,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0003-4538-1305"
"7202997398","Vinod Joshi","Joshi","Vinod",59,"Sharda University","Greater Noida","India","Biochemistry, Genetics and Molecular Biology (all)",""
"57201773057","Amit Kumar","Kumar","Amit",59,"Sharda University","Greater Noida","India","Chemistry (all)","0000-0002-5354-420X"
"56461935500","Subhasree Ray","Ray","Subhasree",58,"Sharda University","Greater Noida","India","Medicine (all)",""
"57213969798","Rashmi Prabha Singh","Singh","Rashmi Prabha",56,"Sharda University","Greater Noida","India","Medicine (all)","0000-0003-4475-3007"
"57203045366","Baishnab Charan Tripathy","Tripathy","Baishnab Charan",55,"Sharda University","Greater Noida","India","Agricultural and Biological Sciences (all)",""
"57216483507","Monika Jain","Jain","Monika",55,"Sharda University","Greater Noida","India","Medicine (all)","0000-0003-4866-3893"
"57196054308","Khushboo Tripathi","Tripathi","Khushboo",55,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-3344-4359"
"24780065700","Tarun Varshney","Varshney","Tarun",54,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-4047-7351"
"55557848900","Mohit Sahni","Sahni","Mohit",53,"Sharda University","Greater Noida","India","Physics and Astronomy (all)",""
"22636343400","Pankaj Taneja","Taneja","Pankaj",52,"Sharda University","Greater Noida","India","Medicine (all)",""
"57197298248","Yogesh Sharma","Sharma","Yogesh",51,"Sharda University","Greater Noida","India","Materials Science (all)","0000-0003-3902-2226"
"57197735988","Sayanti Mandal","Mandal","Sayanti",51,"Sharda University","Greater Noida","India","Agricultural and Biological Sciences (all)",""
"57225853834","Ankur Sharma","Sharma","Ankur",51,"Sharda University","Greater Noida","India","Medicine (all)","0000-0003-3058-760X"
"6603720115","Jugesh Chhatwal","Chhatwal","Jugesh",50,"Sharda University","Greater Noida","India","Medicine (all)",""
"57202688440","Pawan Singh Dhapola","Dhapola","Pawan Singh",50,"Sharda University","Greater Noida","India","Materials Science (all)","0000-0002-5813-0962"
"54279333400","Sanjeev Kumar Pippal","Pippal","Sanjeev Kumar",49,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-3720-0765"
"7004443514","Jawahar Lal Goyal","Goyal","Jawahar Lal",49,"Sharda University","Greater Noida","India","Medicine (all)",""
"55559718600","Subrata C. Sahana","Sahana","Subrata C.",49,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-9183-2237"
"56354988200","Rajaretinam Rajesh Kannan","Rajesh Kannan","Rajaretinam",49,"Sharda University","Greater Noida","India","Medicine (all)","0000-0001-6846-5777"
"56150467000","Amrita","Amrita","",48,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-6922-3403"
"57199490853","Karan Kumar Singh","Singh","Karan Kumar",48,"Sharda University","Greater Noida","India","Computer Science (all)",""
"57209147763","Karuna Singh","Singh","Karuna",47,"Sharda University","Greater Noida","India","Agricultural and Biological Sciences (all)",""
"55793190543","Krishna Kumar Pandey","Pandey","Krishna Kumar",46,"Sharda University","Greater Noida","India","Physics and Astronomy (all)","0000-0002-2965-6615"
"57213216893","Dayanand Sharma","Sharma","Dayanand",46,"Sharda University","Greater Noida","India","Environmental Science (all)","0000-0002-2138-2218"
"56785470500","Sudeep Varshney","Varshney","Sudeep",46,"Sharda University","Greater Noida","India","Computer Science (all)",""
"26031648000","Kanu Hari Priya","Priya","Kanu Hari",46,"Sharda University","Greater Noida","India","Medicine (all)",""
"57203073293","Gaurav Kaushik","Kaushik","Gaurav",45,"Sharda University","Greater Noida","India","Medicine (all)",""
